PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Name,Cabin
1,0,3,male,22,1,0,A/5 21171,7.25,S, Mr,
2,1,1,female,38,1,0,PC 17599,71.2833,C, Mrs,C
3,1,3,female,26,0,0,STON/O2. 3101282,7.925,S, Miss,
4,1,1,female,35,1,0,113803,53.1,S, Mrs,C
5,0,3,male,35,0,0,373450,8.05,S, Mr,
6,0,3,male,27,0,0,330877,8.4583,Q, Mr,
7,0,1,male,54,0,0,17463,51.8625,S, Mr,E
8,0,3,male,2,3,1,349909,21.075,S, Master,
9,1,3,female,27,0,2,347742,11.1333,S, Mrs,
10,1,2,female,14,1,0,237736,30.0708,C, Mrs,
11,1,3,female,4,1,1,PP 9549,16.7,S, Miss,G
12,1,1,female,58,0,0,113783,26.55,S, Miss,C
13,0,3,male,20,0,0,A/5. 2151,8.05,S, Mr,
14,0,3,male,39,1,5,347082,31.275,S, Mr,
15,0,3,female,14,0,0,350406,7.8542,S, Miss,
16,1,2,female,55,0,0,248706,16,S, Mrs,
17,0,3,male,2,4,1,382652,29.125,Q, Master,
18,1,2,male,31,0,0,244373,13,S, Mr,
19,0,3,female,31,1,0,345763,18,S, Mrs,
20,1,3,female,27,0,0,2649,7.225,C, Mrs,
21,0,2,male,35,0,0,239865,26,S, Mr,
22,1,2,male,34,0,0,248698,13,S, Mr,D
23,1,3,female,15,0,0,330923,8.0292,Q, Miss,
24,1,1,male,28,0,0,113788,35.5,S, Mr,A
25,0,3,female,8,3,1,349909,21.075,S, Miss,
26,1,3,female,38,1,5,347077,31.3875,S, Mrs,
27,0,3,male,27,0,0,2631,7.225,C, Mr,
28,0,1,male,19,3,2,19950,263,S, Mr,C
29,1,3,female,27,0,0,330959,7.8792,Q, Miss,
30,0,3,male,27,0,0,349216,7.8958,S, Mr,
31,0,1,male,40,0,0,PC 17601,27.7208,C, Don,
32,1,1,female,40,1,0,PC 17569,146.5208,C, Mrs,B
33,1,3,female,27,0,0,335677,7.75,Q, Miss,
34,0,2,male,66,0,0,C.A. 24579,10.5,S, Mr,
35,0,1,male,28,1,0,PC 17604,82.1708,C, Mr,
36,0,1,male,42,1,0,113789,52,S, Mr,
37,1,3,male,27,0,0,2677,7.2292,C, Mr,
38,0,3,male,21,0,0,A./5. 2152,8.05,S, Mr,
39,0,3,female,18,2,0,345764,18,S, Miss,
40,1,3,female,14,1,0,2651,11.2417,C, Miss,
41,0,3,female,40,1,0,7546,9.475,S, Mrs,
42,0,2,female,27,1,0,11668,21,S, Mrs,
43,0,3,male,27,0,0,349253,7.8958,C, Mr,
44,1,2,female,3,1,2,SC/Paris 2123,41.5792,C, Miss,
45,1,3,female,19,0,0,330958,7.8792,Q, Miss,
46,0,3,male,27,0,0,S.C./A.4. 23567,8.05,S, Mr,
47,0,3,male,24,1,0,370371,15.5,Q, Mr,
48,1,3,female,27,0,0,14311,7.75,Q, Miss,
49,0,3,male,19,2,0,2662,21.6792,C, Mr,
50,0,3,female,18,1,0,349237,17.8,S, Mrs,
51,0,3,male,7,4,1,3101295,39.6875,S, Master,
52,0,3,male,21,0,0,A/4. 39886,7.8,S, Mr,
53,1,1,female,49,1,0,PC 17572,76.7292,C, Mrs,D
54,1,2,female,29,1,0,2926,26,S, Mrs,
55,0,1,male,65,0,1,113509,61.9792,C, Mr,B
56,1,1,male,39,0,0,19947,35.5,S, Mr,C
57,1,2,female,21,0,0,C.A. 31026,10.5,S, Miss,
58,0,3,male,28.5,0,0,2697,7.2292,C, Mr,
59,1,2,female,5,1,2,C.A. 34651,27.75,S, Miss,
60,0,3,male,11,5,2,CA 2144,46.9,S, Master,
61,0,3,male,22,0,0,2669,7.2292,C, Mr,
62,1,1,female,38,0,0,113572,80,, Miss,B
63,0,1,male,45,1,0,36973,83.475,S, Mr,C
64,0,3,male,4,3,2,347088,27.9,S, Master,
65,0,1,male,39,0,0,PC 17605,27.7208,C, Mr,
66,1,3,male,24,1,1,2661,15.2458,C, Master,
67,1,2,female,29,0,0,C.A. 29395,10.5,S, Mrs,F
68,0,3,male,19,0,0,S.P. 3464,8.1583,S, Mr,
69,1,3,female,17,4,2,3101281,7.925,S, Miss,
70,0,3,male,26,2,0,315151,8.6625,S, Mr,
71,0,2,male,32,0,0,C.A. 33111,10.5,S, Mr,
72,0,3,female,16,5,2,CA 2144,46.9,S, Miss,
73,0,2,male,21,0,0,S.O.C. 14879,73.5,S, Mr,
74,0,3,male,26,1,0,2680,14.4542,C, Mr,
75,1,3,male,32,0,0,1601,56.4958,S, Mr,
76,0,3,male,25,0,0,348123,7.65,S, Mr,F
77,0,3,male,27,0,0,349208,7.8958,S, Mr,
78,0,3,male,27,0,0,374746,8.05,S, Mr,
79,1,2,male,0.83,0,2,248738,29,S, Master,
80,1,3,female,30,0,0,364516,12.475,S, Miss,
81,0,3,male,22,0,0,345767,9,S, Mr,
82,1,3,male,29,0,0,345779,9.5,S, Mr,
83,1,3,female,27,0,0,330932,7.7875,Q, Miss,
84,0,1,male,28,0,0,113059,47.1,S, Mr,
85,1,2,female,17,0,0,SO/C 14885,10.5,S, Miss,
86,1,3,female,33,3,0,3101278,15.85,S, Mrs,
87,0,3,male,16,1,3,W./C. 6608,34.375,S, Mr,
88,0,3,male,27,0,0,SOTON/OQ 392086,8.05,S, Mr,
89,1,1,female,23,3,2,19950,263,S, Miss,C
90,0,3,male,24,0,0,343275,8.05,S, Mr,
91,0,3,male,29,0,0,343276,8.05,S, Mr,
92,0,3,male,20,0,0,347466,7.8542,S, Mr,
93,0,1,male,46,1,0,W.E.P. 5734,61.175,S, Mr,E
94,0,3,male,26,1,2,C.A. 2315,20.575,S, Mr,
95,0,3,male,59,0,0,364500,7.25,S, Mr,
96,0,3,male,27,0,0,374910,8.05,S, Mr,
97,0,1,male,71,0,0,PC 17754,34.6542,C, Mr,A
98,1,1,male,23,0,1,PC 17759,63.3583,C, Mr,D
99,1,2,female,34,0,1,231919,23,S, Mrs,
100,0,2,male,34,1,0,244367,26,S, Mr,
101,0,3,female,28,0,0,349245,7.8958,S, Miss,
102,0,3,male,27,0,0,349215,7.8958,S, Mr,
103,0,1,male,21,0,1,35281,77.2875,S, Mr,D
104,0,3,male,33,0,0,7540,8.6542,S, Mr,
105,0,3,male,37,2,0,3101276,7.925,S, Mr,
106,0,3,male,28,0,0,349207,7.8958,S, Mr,
107,1,3,female,21,0,0,343120,7.65,S, Miss,
108,1,3,male,27,0,0,312991,7.775,S, Mr,
109,0,3,male,38,0,0,349249,7.8958,S, Mr,
110,1,3,female,24,1,0,371110,24.15,Q, Miss,
111,0,1,male,47,0,0,110465,52,S, Mr,C
112,0,3,female,14.5,1,0,2665,14.4542,C, Miss,
113,0,3,male,22,0,0,324669,8.05,S, Mr,
114,0,3,female,20,1,0,4136,9.825,S, Miss,
115,0,3,female,17,0,0,2627,14.4583,C, Miss,
116,0,3,male,21,0,0,STON/O 2. 3101294,7.925,S, Mr,
117,0,3,male,70.5,0,0,370369,7.75,Q, Mr,
118,0,2,male,29,1,0,11668,21,S, Mr,
119,0,1,male,24,0,1,PC 17558,247.5208,C, Mr,B
120,0,3,female,2,4,2,347082,31.275,S, Miss,
121,0,2,male,21,2,0,S.O.C. 14879,73.5,S, Mr,
122,0,3,male,27,0,0,A4. 54510,8.05,S, Mr,
123,0,2,male,32.5,1,0,237736,30.0708,C, Mr,
124,1,2,female,32.5,0,0,27267,13,S, Miss,E
125,0,1,male,54,0,1,35281,77.2875,S, Mr,D
126,1,3,male,12,1,0,2651,11.2417,C, Master,
127,0,3,male,27,0,0,370372,7.75,Q, Mr,
128,1,3,male,24,0,0,C 17369,7.1417,S, Mr,
129,1,3,female,24,1,1,2668,22.3583,C, Miss,F
130,0,3,male,45,0,0,347061,6.975,S, Mr,
131,0,3,male,33,0,0,349241,7.8958,C, Mr,
132,0,3,male,20,0,0,SOTON/O.Q. 3101307,7.05,S, Mr,
133,0,3,female,47,1,0,A/5. 3337,14.5,S, Mrs,
134,1,2,female,29,1,0,228414,26,S, Mrs,
135,0,2,male,25,0,0,C.A. 29178,13,S, Mr,
136,0,2,male,23,0,0,SC/PARIS 2133,15.0458,C, Mr,
137,1,1,female,19,0,2,11752,26.2833,S, Miss,D
138,0,1,male,37,1,0,113803,53.1,S, Mr,C
139,0,3,male,16,0,0,7534,9.2167,S, Mr,
140,0,1,male,24,0,0,PC 17593,79.2,C, Mr,B
141,0,3,female,27,0,2,2678,15.2458,C, Mrs,
142,1,3,female,22,0,0,347081,7.75,S, Miss,
143,1,3,female,24,1,0,STON/O2. 3101279,15.85,S, Mrs,
144,0,3,male,19,0,0,365222,6.75,Q, Mr,
145,0,2,male,18,0,0,231945,11.5,S, Mr,
146,0,2,male,19,1,1,C.A. 33112,36.75,S, Mr,
147,1,3,male,27,0,0,350043,7.7958,S, Mr,
148,0,3,female,9,2,2,W./C. 6608,34.375,S, Miss,
149,0,2,male,36.5,0,2,230080,26,S, Mr,F
150,0,2,male,42,0,0,244310,13,S, Rev,
151,0,2,male,51,0,0,S.O.P. 1166,12.525,S, Rev,
152,1,1,female,22,1,0,113776,66.6,S, Mrs,C
153,0,3,male,55.5,0,0,A.5. 11206,8.05,S, Mr,
154,0,3,male,40.5,0,2,A/5. 851,14.5,S, Mr,
155,0,3,male,27,0,0,Fa 265302,7.3125,S, Mr,
156,0,1,male,51,0,1,PC 17597,61.3792,C, Mr,
157,1,3,female,16,0,0,35851,7.7333,Q, Miss,
158,0,3,male,30,0,0,SOTON/OQ 392090,8.05,S, Mr,
159,0,3,male,27,0,0,315037,8.6625,S, Mr,
160,0,3,male,15,8,2,CA. 2343,69.55,S, Master,
161,0,3,male,44,0,1,371362,16.1,S, Mr,
162,1,2,female,40,0,0,C.A. 33595,15.75,S, Mrs,
163,0,3,male,26,0,0,347068,7.775,S, Mr,
164,0,3,male,17,0,0,315093,8.6625,S, Mr,
165,0,3,male,1,4,1,3101295,39.6875,S, Master,
166,1,3,male,9,0,2,363291,20.525,S, Master,
167,1,1,female,39,0,1,113505,55,S, Mrs,E
168,0,3,female,45,1,4,347088,27.9,S, Mrs,
169,0,1,male,39,0,0,PC 17318,25.925,S, Mr,
170,0,3,male,28,0,0,1601,56.4958,S, Mr,
171,0,1,male,61,0,0,111240,33.5,S, Mr,B
172,0,3,male,4,4,1,382652,29.125,Q, Master,
173,1,3,female,1,1,1,347742,11.1333,S, Miss,
174,0,3,male,21,0,0,STON/O 2. 3101280,7.925,S, Mr,
175,0,1,male,56,0,0,17764,30.6958,C, Mr,A
176,0,3,male,18,1,1,350404,7.8542,S, Mr,
177,0,3,male,12,3,1,4133,25.4667,S, Master,
178,0,1,female,50,0,0,PC 17595,28.7125,C, Miss,C
179,0,2,male,30,0,0,250653,13,S, Mr,
180,0,3,male,36,0,0,LINE,0,S, Mr,
181,0,3,female,15,8,2,CA. 2343,69.55,S, Miss,
182,0,2,male,31,0,0,SC/PARIS 2131,15.05,C, Mr,
183,0,3,male,9,4,2,347077,31.3875,S, Master,
184,1,2,male,1,2,1,230136,39,S, Master,F
185,1,3,female,4,0,2,315153,22.025,S, Miss,
186,0,1,male,39,0,0,113767,50,S, Mr,A
187,1,3,female,24,1,0,370365,15.5,Q, Mrs,
188,1,1,male,45,0,0,111428,26.55,S, Mr,
189,0,3,male,40,1,1,364849,15.5,Q, Mr,
190,0,3,male,36,0,0,349247,7.8958,S, Mr,
191,1,2,female,32,0,0,234604,13,S, Mrs,
192,0,2,male,19,0,0,28424,13,S, Mr,
193,1,3,female,19,1,0,350046,7.8542,S, Miss,
194,1,2,male,3,1,1,230080,26,S, Master,F
195,1,1,female,44,0,0,PC 17610,27.7208,C, Mrs,B
196,1,1,female,58,0,0,PC 17569,146.5208,C, Miss,B
197,0,3,male,27,0,0,368703,7.75,Q, Mr,
198,0,3,male,42,0,1,4579,8.4042,S, Mr,
199,1,3,female,27,0,0,370370,7.75,Q, Miss,
200,0,2,female,24,0,0,248747,13,S, Miss,
201,0,3,male,28,0,0,345770,9.5,S, Mr,
202,0,3,male,15,8,2,CA. 2343,69.55,S, Mr,
203,0,3,male,34,0,0,3101264,6.4958,S, Mr,
204,0,3,male,45.5,0,0,2628,7.225,C, Mr,
205,1,3,male,18,0,0,A/5 3540,8.05,S, Mr,
206,0,3,female,2,0,1,347054,10.4625,S, Miss,G
207,0,3,male,32,1,0,3101278,15.85,S, Mr,
208,1,3,male,26,0,0,2699,18.7875,C, Mr,
209,1,3,female,16,0,0,367231,7.75,Q, Miss,
210,1,1,male,40,0,0,112277,31,C, Mr,A
211,0,3,male,24,0,0,SOTON/O.Q. 3101311,7.05,S, Mr,
212,1,2,female,35,0,0,F.C.C. 13528,21,S, Miss,
213,0,3,male,22,0,0,A/5 21174,7.25,S, Mr,
214,0,2,male,30,0,0,250646,13,S, Mr,
215,0,3,male,24,1,0,367229,7.75,Q, Mr,
216,1,1,female,31,1,0,35273,113.275,C, Miss,D
217,1,3,female,27,0,0,STON/O2. 3101283,7.925,S, Miss,
218,0,2,male,42,1,0,243847,27,S, Mr,
219,1,1,female,32,0,0,11813,76.2917,C, Miss,D
220,0,2,male,30,0,0,W/C 14208,10.5,S, Mr,
221,1,3,male,16,0,0,SOTON/OQ 392089,8.05,S, Mr,
222,0,2,male,27,0,0,220367,13,S, Mr,
223,0,3,male,51,0,0,21440,8.05,S, Mr,
224,0,3,male,27,0,0,349234,7.8958,S, Mr,
225,1,1,male,38,1,0,19943,90,S, Mr,C
226,0,3,male,22,0,0,PP 4348,9.35,S, Mr,
227,1,2,male,19,0,0,SW/PP 751,10.5,S, Mr,
228,0,3,male,20.5,0,0,A/5 21173,7.25,S, Mr,
229,0,2,male,18,0,0,236171,13,S, Mr,
230,0,3,female,12,3,1,4133,25.4667,S, Miss,
231,1,1,female,35,1,0,36973,83.475,S, Mrs,C
232,0,3,male,29,0,0,347067,7.775,S, Mr,
233,0,2,male,59,0,0,237442,13.5,S, Mr,
234,1,3,female,5,4,2,347077,31.3875,S, Miss,
235,0,2,male,24,0,0,C.A. 29566,10.5,S, Mr,
